Timestamp,Gender (feel free to use other to be more specific/this is clearly not an exhaustive list),Ethnicity (feel free to use other to be more specific/this is clearly not an exhaustive list),Sexual Preference (feel free to use other to be more specific/this is clearly not an exhaustive list),,,,,,,,
12/13/2022 12:34:18,"Female, Genderfluid",Native American,Homosexual,4,5,3,6,4,6,6,4
12/13/2022 12:34:37,Female,Asian,Asexual,4,4,4,4,4,4,3,5
12/13/2022 12:34:43,Female,Asian,Heterosexual,4,5,5,5,2,3,5,5
12/13/2022 12:34:52,Female,White,"Bisexual, Pansexual",3,6,5,5,4,3,3,6
12/13/2022 12:34:56,Female,White,Heterosexual,4,5,6,4,2,2,2,5
12/13/2022 12:34:59,Female,White,Heterosexual,2,4,3,4,1,3,1,7
12/13/2022 12:34:59,Female,Asian,Heterosexual,2,3,6,6,3,2,2,6
12/13/2022 12:35:08,Non-binary,"White, Hispanic","Homosexual, Asexual, Aromantic",5,3,4,3,4,5,3,4
12/13/2022 12:35:12,Female,White,Heterosexual,3,1,6,2,1,1,1,5
12/13/2022 12:35:13,Male,Hispanic,Heterosexual,3,5,4,4,2,2,2,5
12/13/2022 12:35:13,Male,Asian,Heterosexual,4,3,6,3,3,4,2,4
12/13/2022 12:35:35,Male,Black,Heterosexual,1,4,4,3,1,1,2,5
12/13/2022 12:35:35,Female,Asian,"Asexual, Aromantic",4,4,4,4,4,4,4,4
12/13/2022 12:35:38,Female,Asian,Bisexual,4,5,5,5,5,5,4,6
12/13/2022 12:35:39,Female,Asian,Heterosexual,2,4,4,3,3,3,4,5
12/13/2022 12:35:42,Female,Asian,Heterosexual,5,4,7,5,5,4,3,7
12/13/2022 12:35:48,Female,White,Heterosexual,4,1,4,2,1,1,2,4
12/13/2022 12:35:49,Female,Black,Heterosexual,3,4,5,4,2,3,2,6
12/13/2022 12:36:06,Male,"White, Hispanic",Heterosexual,5,5,5,3,5,5,4,4
12/13/2022 12:36:08,Male,Hispanic,Heterosexual,5,6,5,3,4,5,4,6
12/13/2022 12:36:09,Male,Black,Heterosexual,5,4,5,4,5,4,3,5
12/13/2022 12:36:29,Female,White,Heterosexual,2,5,5,5,1,2,2,6
12/13/2022 12:36:34,Male,"White, Black",Heterosexual,4,5,5,6,5,6,6,6
12/13/2022 12:36:35,Non-binary,Asian,Bisexual,3,5,5,6,5,4,6,6
12/13/2022 12:36:35,Female,"White, Asian",Bisexual,3,5,5,5,6,4,4,6
12/13/2022 12:36:40,Male,Black,Heterosexual,4,7,7,7,4,4,4,7
12/13/2022 12:36:49,Female,White,Heterosexual,4,4,5,4,3,3,2,4
12/13/2022 12:37:18,Male,Asian,Homosexual,1,4,5,5,1,2,3,6
12/13/2022 12:37:23,Female,White,Heterosexual,3,5,5,5,3,4,3,6
12/13/2022 12:37:25,Female,Asian,Bisexual,4,5,6,5,4,3,4,6
12/13/2022 12:37:32,Female,Asian,Bisexual,4,5,5,4,3,3,4,6
12/13/2022 12:37:33,Female,Asian,Heterosexual,4,4,4,4,2,2,3,5
12/13/2022 12:37:39,Male,"White, Asian",Heterosexual,5,3,7,1,4,3,1,4
12/13/2022 12:37:49,Female,Black,Heterosexual,5,5,5,4,4,3,3,6
12/13/2022 12:38:06,Female,Asian,Heterosexual,6,6,7,6,5,5,4,7
12/13/2022 12:38:06,Male,Asian,Heterosexual,5,3,5,4,4,4,3,5
12/13/2022 12:38:14,Female,Asian,Heterosexual,3,4,4,3,3,4,3,6
12/13/2022 12:39:08,Female,Prefer not to say,Heterosexual,4,7,5,6,3,4,5,7
12/13/2022 12:39:27,Female,White,Bisexual,5,6,5,4,2,4,5,7
12/13/2022 12:39:43,Female,Asian,Heterosexual,5,5,6,4,2,2,1,6
12/13/2022 12:39:46,Female,White,Heterosexual,3,3,5,4,2,4,3,6
12/13/2022 12:39:53,Male,"Hispanic, Asian",Bisexual,4,6,4,4,3,4,5,6
12/13/2022 12:40:43,Female,Black,Bisexual,1,5,4,5,4,1,2,7
12/13/2022 12:40:48,Male,Asian,Bisexual,4,3,5,4,3,3,3,6
12/13/2022 12:41:33,Female,Black,Heterosexual,3,5,4,4,5,4,2,6
12/13/2022 12:42:12,Male,Black,Heterosexual,5,5,6,5,5,4,5,6
12/13/2022 12:42:34,Male,Asian,"Homosexual, Bisexual",4,6,6,6,2,2,6,6
12/13/2022 12:42:50,Female,Asian,Heterosexual,2,3,5,4,4,3,2,6
12/13/2022 12:44:48,Female,Asian,Heterosexual,4,6,6,6,5,4,5,7
12/13/2022 12:44:48,Female,White,Heterosexual,3,4,6,5,3,3,3,6
12/13/2022 12:44:50,Female,Asian,Heterosexual,3,3,4,4,3,3,3,4
12/13/2022 12:45:06,Female,White,Heterosexual,5,7,2,3,2,4,3,7
12/13/2022 12:45:34,Male,Asian,Heterosexual,4,4,5,4,3,3,3,4
12/13/2022 12:45:52,Male,White,Heterosexual,6,6,6,4,5,6,5,7
12/13/2022 12:46:46,Male,White,Asexual,4,4,5,4,4,4,3,5
12/13/2022 12:47:07,Female,Black,Heterosexual,2,6,5,5,5,6,5,6
12/13/2022 12:48:31,Male,White,Bisexual,6,6,5,4,3,3,3,4
12/13/2022 12:49:01,Male,Asian,Heterosexual,5,4,5,2,4,3,2,5
12/13/2022 12:49:41,Male,Asian,Heterosexual,1,5,3,3,3,3,2,3
12/13/2022 12:50:25,Female,Hispanic,Heterosexual,3,5,4,5,3,5,4,7
12/13/2022 12:51:01,Female,"Black, Asian",Heterosexual,1,4,6,3,2,1,1,6
12/13/2022 12:51:19,Female,Asian,Heterosexual,2,5,5,5,4,4,4,5
12/13/2022 12:51:44,Female,Hispanic,Prefer not to say,4,5,6,5,3,3,4,6
12/13/2022 12:52:16,Female,Asian,Homosexual,3,2,2,4,2,3,3,5
12/13/2022 12:54:20,Female,Asian,Heterosexual,2,5,6,5,3,4,4,6
12/13/2022 12:55:02,Female,White,Heterosexual,4,2,3,4,2,2,4,6
12/13/2022 12:56:46,Male,Black,Heterosexual,2,3,2,3,3,3,2,4
12/13/2022 12:58:17,Male,Asian,Heterosexual,5,6,5,4,4,4,5,5
12/13/2022 12:59:20,Female,Black,Heterosexual,5,6,6,6,5,6,5,6
12/13/2022 12:59:29,Female,White,Heterosexual,6,6,6,6,6,6,6,6
12/13/2022 13:00:12,Male,Hispanic,Heterosexual,2,5,6,3,1,1,1,5
12/13/2022 13:00:44,Female,Hispanic,Bisexual,4,5,5,6,4,4,2,7
12/13/2022 13:02:37,Female,White,Asexual,4,6,5,6,4,4,4,6
12/13/2022 13:03:33,Male,Hispanic,Heterosexual,5,3,3,3,4,4,3,5
12/13/2022 13:03:57,Female,Asian,Heterosexual,3,4,2,2,3,4,3,4
12/13/2022 13:04:39,Female,Asian,Heterosexual,6,5,6,5,6,6,4,6
12/13/2022 13:04:51,Female,"White, Black",Bisexual,2,3,4,5,3,3,3,5
12/13/2022 13:04:59,Male,"White, Asian",Heterosexual,6,4,6,4,5,5,4,6
12/13/2022 13:05:48,Male,Black,Heterosexual,6,6,6,4,5,4,4,6
12/13/2022 13:06:52,Female,White,Bisexual,3,4,3,4,3,3,5,5
12/13/2022 13:11:26,Male,Asian,Heterosexual,5,5,6,4,5,5,4,6
12/13/2022 13:15:38,Female,Asian,Heterosexual,1,5,5,5,3,3,4,6
12/13/2022 13:15:39,Female,Asian,Heterosexual,4,3,5,4,3,3,4,4
12/13/2022 13:17:31,Female,Asian,Heterosexual,3,4,6,5,1,2,6,6
12/13/2022 13:17:59,Female,Asian,Heterosexual,3,4,5,5,4,5,5,6
12/13/2022 13:18:35,Female,Asian,Heterosexual,3,6,6,6,3,3,4,6
12/13/2022 13:21:02,Male,White,Heterosexual,4,3,4,3,4,4,4,6
12/13/2022 13:24:56,Male,Hispanic,Homosexual,2,6,2,4,4,4,3,5
12/13/2022 13:26:25,"Female, Non-binary","White, Asian",Asexual,3,4,4,5,3,2,5,6
12/13/2022 13:26:39,Female,Asian,Bisexual,5,5,6,5,4,3,3,6
12/13/2022 13:28:52,Non-binary,"Asian, Middle Eastern",Bisexual,3,3,2,4,4,2,3,5
12/13/2022 13:30:56,Male,"Black, Hispanic",Heterosexual,4,4,5,5,4,4,5,5
12/13/2022 13:34:23,Male,White,Heterosexual,4,5,5,5,4,4,4,5
12/13/2022 13:36:06,Female,Hispanic,Heterosexual,1,4,3,4,2,4,3,5
12/13/2022 13:36:28,"Non-binary, Genderfluid","Hispanic, Latinx","Bisexual, queer",2,6,4,6,5,5,5,6
12/13/2022 13:38:45,Male,Hispanic,Heterosexual,5,3,5,3,3,3,2,4
12/13/2022 13:39:30,Female,Black,Bisexual,1,3,2,6,6,6,5,6
12/13/2022 13:40:20,Female,Asian,Heterosexual,2,6,6,6,3,4,3,6
12/13/2022 13:41:19,Female,White,Prefer not to say,5,6,6,6,5,6,4,6
12/13/2022 13:43:51,Female,Asian,Heterosexual,3,3,5,2,2,2,2,6
12/13/2022 13:45:31,Female,Asian,Heterosexual,4,4,4,4,4,4,4,4
12/13/2022 13:45:35,Preder not to say,Prefer not to say,Prefer not to say,4,4,4,3,4,3,3,5
12/13/2022 13:47:26,Female,Asian,Bisexual,3,5,5,5,3,3,2,6
12/13/2022 13:47:29,Female,White,Heterosexual,5,5,4,4,4,4,2,5
12/13/2022 13:48:47,Female,Asian,Pansexual,3,4,4,4,4,4,4,5
12/13/2022 13:51:20,Female,Asian,Bisexual,5,2,4,3,3,3,3,5
12/13/2022 13:51:25,Female,"White, Hispanic",Heterosexual,2,5,6,5,2,2,1,3
12/13/2022 13:53:57,Female,Asian,Heterosexual,4,6,5,5,3,4,3,5
12/13/2022 13:53:58,Male,White,Bisexual,3,5,6,4,5,6,3,7
12/13/2022 13:55:49,Male,Black,Heterosexual,5,7,5,4,4,4,3,5
12/13/2022 13:58:35,Male,White,"Bisexual, Pansexual",3,5,5,5,6,4,5,6
12/13/2022 14:01:18,Male,Asian,Heterosexual,6,6,5,5,6,6,5,5
12/13/2022 14:04:08,Female,Asian,Heterosexual,5,4,4,4,4,4,4,5
12/13/2022 14:05:45,Male,Asian,Heterosexual,4,4,5,4,4,4,4,5
12/13/2022 14:10:33,Female,White,Bisexual,3,4,6,6,2,3,4,7
12/13/2022 14:11:10,Agender,White,"Asexual, Aromantic",4,4,4,4,4,4,4,4
12/13/2022 14:12:08,Male,Asian,Heterosexual,4,3,4,2,3,3,1,2
12/13/2022 14:14:46,Female,Asian,Pansexual,5,6,7,6,6,4,3,7
12/13/2022 14:15:47,Male,Hispanic,Heterosexual,1,1,3,2,1,1,1,5
12/13/2022 14:17:36,Male,Asian,Heterosexual,4,4,5,4,4,4,4,5
12/13/2022 14:20:51,Female,Asian,Heterosexual,2,5,5,4,1,1,1,6
12/13/2022 14:27:28,Male,Hispanic,Heterosexual,4,4,5,2,4,3,2,4
12/13/2022 14:32:17,Male,Asian,Heterosexual,5,5,5,5,5,5,5,5
12/13/2022 14:43:33,Female,Asian,Prefer not to say,3,4,4,4,5,4,4,5
12/13/2022 14:47:45,Female,White,Prefer not to say,4,4,5,4,3,4,4,6
12/13/2022 14:54:41,Male,"White, Hispanic",Bisexual,2,5,3,1,1,1,1,5
12/13/2022 14:55:23,Male,Hispanic,Heterosexual,3,4,5,3,4,4,4,7
12/13/2022 14:56:03,Female,Hispanic,"Heterosexual, Asexual, Demisexual",4,4,4,3,4,3,3,5
12/13/2022 14:56:32,Female,White,Heterosexual,3,4,6,4,2,3,4,6
12/13/2022 14:58:53,Female,Asian,Heterosexual,3,6,6,5,3,4,3,6
12/13/2022 15:01:41,Female,Asian,Heterosexual,4,4,6,4,2,3,3,7
12/13/2022 15:36:17,Female,"White, Hispanic",Heterosexual,3,5,6,6,4,4,4,7
12/13/2022 15:38:54,Female,White,Bisexual,3,4,4,5,3,5,2,6
12/13/2022 15:40:00,Male,Black,Heterosexual,4,5,4,4,5,5,4,5
12/13/2022 15:50:51,Female,Black,Heterosexual,3,4,4,4,2,2,3,6
12/13/2022 15:55:06,Female,Asian,Heterosexual,5,3,5,2,2,2,4,6
12/13/2022 16:02:36,Male,"White, Hispanic",Bisexual,6,6,6,6,7,5,4,7
12/13/2022 16:10:01,Male,Asian,Heterosexual,4,4,4,4,4,4,4,4
12/13/2022 16:13:46,Female,Asian,Bisexual,5,3,7,7,4,4,1,7
12/13/2022 16:17:01,Non-binary,Black,Prefer not to say,4,5,5,4,4,3,5,5
12/13/2022 16:17:07,Female,Asian,Heterosexual,5,5,6,5,3,2,3,6
12/13/2022 16:21:34,Female,White,Bisexual,5,5,6,6,4,4,4,6
12/13/2022 16:26:21,Male,Black,Heterosexual,4,2,4,1,2,3,1,5
12/13/2022 16:28:06,Male,White,Heterosexual,5,4,5,2,3,5,4,5
12/13/2022 16:30:44,Male,Asian,Heterosexual,1,4,5,1,2,2,1,5
12/13/2022 16:33:23,Non-binary,Native American,Aromantic,7,2,7,1,1,1,2,2
12/13/2022 16:33:50,Genderfluid,Hispanic,Homosexual,7,1,7,1,1,1,1,1
12/13/2022 16:34:19,Female,Asian,Heterosexual,5,5,5,5,3,3,4,5
12/13/2022 16:34:23,Male,Chinese,"Heterosexual, Bisexual",7,7,7,7,7,7,7,7
12/13/2022 16:38:41,Female,Hispanic,Heterosexual,4,4,4,4,3,2,2,4
12/13/2022 16:42:10,Female,Asian,Heterosexual,5,5,6,4,4,3,3,6
12/13/2022 16:49:14,Male,Brazilian,Heterosexual,3,3,6,2,1,1,2,5
12/13/2022 16:50:35,Male,White,Heterosexual,5,2,5,4,6,5,3,7
12/13/2022 17:22:34,Male,"White, Black",Heterosexual,4,4,5,5,5,4,4,6
12/13/2022 17:44:11,Female,Asian,Heterosexual,5,5,6,5,5,5,5,6
12/13/2022 17:45:19,Male,Asian,Heterosexual,5,4,6,4,3,3,3,6
12/13/2022 17:53:22,Female,Asian,Heterosexual,6,7,7,5,5,4,6,7
12/13/2022 18:03:28,Male,Black,Heterosexual,3,4,5,3,4,3,2,6
12/13/2022 18:05:01,Female,Asian,Prefer not to say,5,5,6,6,5,4,4,5
