Timestamp,Gender (feel free to use other to be more specific/this is clearly not an exhaustive list),Ethnicity (feel free to use other to be more specific/this is clearly not an exhaustive list),Sexual Preference (feel free to use other to be more specific/this is clearly not an exhaustive list),,,,,,,,
12/13/2022 12:15:55,Male,White,Homosexual,3,3,3,4,3,3,3,4
12/13/2022 12:16:27,Male,Asian,Heterosexual,3,3,4,3,4,4,2,3
12/13/2022 12:16:30,Female,Asian,Heterosexual,4,4,5,4,4,4,4,5
12/13/2022 12:16:37,Male,White,Heterosexual,2,2,3,2,2,2,2,3
12/13/2022 12:16:40,Non-binary,"Black, Hispanic, Native American",Homosexual,5,6,6,6,6,5,4,6
12/13/2022 12:16:45,Male,Asian,Heterosexual,2,2,3,3,2,2,2,2
12/13/2022 12:16:45,Male,Hispanic,Heterosexual,1,2,3,3,1,1,1,3
12/13/2022 12:17:08,Female,White,Bisexual,3,6,5,5,3,5,3,4
12/13/2022 12:17:12,Female,"White, Asian",Bisexual,3,4,7,4,3,3,3,6
12/13/2022 12:17:24,Female,White,Homosexual,3,5,6,6,6,5,6,7
12/13/2022 12:17:26,Male,Hispanic,Heterosexual,2,4,5,3,3,4,3,6
12/13/2022 12:17:28,Male,White,Heterosexual,5,6,6,6,5,6,5,7
12/13/2022 12:17:44,Female,White,Heterosexual,5,4,5,4,3,4,3,6
12/13/2022 12:17:50,Female,Asian,Bisexual,3,4,5,4,3,3,4,6
12/13/2022 12:17:54,Male,Hispanic,Heterosexual,4,4,4,3,4,5,4,6
12/13/2022 12:17:55,Male,Asian,Heterosexual,6,6,6,6,6,6,7,7
12/13/2022 12:18:06,Prefer not to say,Prefer not to say,Prefer not to say,4,4,4,4,4,4,4,4
12/13/2022 12:18:19,Female,White,Bisexual,4,5,6,6,4,5,5,6
12/13/2022 12:18:23,Genderfluid,White,Bisexual,1,4,4,5,3,3,3,6
12/13/2022 12:18:38,Male,White,Heterosexual,2,4,6,3,1,2,2,4
12/13/2022 12:18:43,Female,Asian,Heterosexual,2,5,5,3,2,2,2,4
