Timestamp,Gender (feel free to use other to be more specific/this is clearly not an exhaustive list),Ethnicity (feel free to use other to be more specific/this is clearly not an exhaustive list),Sexual Preference (feel free to use other to be more specific/this is clearly not an exhaustive list),,,,,,,,
12/13/2022 12:40:17,Female,Hispanic,Bisexual,1,2,5,2,2,2,2,5
12/13/2022 12:41:24,Female,Asian,Heterosexual,4,4,5,5,4,5,4,5
12/13/2022 12:41:24,Female,White,Heterosexual,4,5,5,5,4,3,2,5
12/13/2022 12:41:43,Female,Asian,Heterosexual,4,5,5,5,4,4,4,5
12/13/2022 12:41:55,Female,Asian,Heterosexual,2,4,5,5,4,4,4,6
12/13/2022 12:42:44,Female,Asian,Heterosexual,4,5,5,6,4,4,3,6
12/13/2022 12:43:07,Female,Black,Heterosexual,1,5,4,7,5,6,2,5
12/13/2022 12:44:13,Female,White,Heterosexual,5,6,6,5,3,3,2,7
12/13/2022 12:45:32,Female,Black,Heterosexual,3,4,5,4,3,3,4,7
12/13/2022 12:45:50,Female,Asian,Heterosexual,5,3,5,5,3,4,4,6
12/13/2022 12:46:43,Female,White,"Bisexual, Asexual",3,5,4,5,6,5,4,6
12/13/2022 12:50:32,Female,White,Bisexual,3,2,5,3,5,3,4,6
12/13/2022 12:51:09,Female,"White, Asian, Pacific Islander","Heterosexual, Asexual",5,5,4,4,3,4,3,6
12/13/2022 12:51:50,Female,Black,Bisexual,2,3,2,3,3,3,2,4
12/13/2022 12:55:25,Female,Asian,Heterosexual,5,5,6,5,6,5,4,6
12/13/2022 12:56:41,Female,Asian,"Asexual, Aromantic",4,4,4,4,4,4,4,4
12/13/2022 12:57:41,Female,"White, Hispanic",Heterosexual,5,2,4,1,6,5,3,4
12/13/2022 13:00:33,Female,Asian,Heterosexual,5,4,5,4,4,4,3,6
12/13/2022 13:03:19,Female,Black,Homosexual,2,6,5,6,4,4,2,5
12/13/2022 13:03:29,Female,Asian,Heterosexual,2,2,2,2,1,1,1,2
12/13/2022 13:04:25,Female,Asian,Heterosexual,3,4,5,4,3,2,3,6
12/13/2022 13:04:27,Female,Asian,Heterosexual,3,4,4,4,3,3,3,6
12/13/2022 13:06:05,Female,White,Bisexual,2,5,6,6,5,5,4,7
12/13/2022 13:06:14,Prefer not to say,Asian,Prefer not to say,3,2,5,5,3,4,6,6
12/13/2022 13:09:36,Female,White,Bisexual,6,6,5,4,6,5,3,6
12/13/2022 13:12:18,Female,White,Pansexual,2,4,4,4,2,3,2,5
12/13/2022 13:17:53,Prefer not to say,Prefer not to say,Prefer not to say,5,1,6,4,4,1,1,6
12/13/2022 13:21:22,Female,Black,Prefer not to say,3,6,4,6,5,4,5,7
12/13/2022 13:31:34,Female,Asian,Heterosexual,4,4,6,5,3,3,4,6
12/13/2022 13:33:03,Female,Prefer not to say,Prefer not to say,3,5,5,5,5,5,4,6
12/13/2022 13:40:30,Female,Asian,Heterosexual,3,6,6,6,4,4,5,6
12/13/2022 13:50:15,Female,Asian,Homosexual,5,4,6,3,5,2,2,5
12/13/2022 13:52:57,Female,Hispanic,Heterosexual,3,3,5,5,4,3,2,5
12/13/2022 13:53:52,Female,Asian,Heterosexual,3,3,3,3,2,2,2,5
12/13/2022 14:01:32,Male,"Black, Asian",Heterosexual,4,3,5,3,4,4,3,4
12/13/2022 14:02:22,Female,"White, Asian",Heterosexual,5,5,6,5,4,4,3,5
12/13/2022 14:02:23,Female,Hispanic,Heterosexual,2,6,7,4,4,5,2,7
12/13/2022 14:02:34,Male,Asian,Heterosexual,5,6,7,3,4,4,4,5
12/13/2022 14:02:36,Female,White,Bisexual,5,4,6,4,5,5,2,6
12/13/2022 14:02:40,Male,White,Heterosexual,6,4,6,4,4,4,4,5
12/13/2022 14:02:52,Female,Asian,Heterosexual,4,6,6,6,4,4,4,7
12/13/2022 14:03:04,Female,White,Bisexual,4,3,4,4,3,3,2,5
12/13/2022 14:03:08,Female,White,Heterosexual,3,6,6,6,6,5,3,7
12/13/2022 14:03:32,Male,Black,Heterosexual,3,3,3,4,3,4,2,6
12/13/2022 14:03:34,Female,White,Heterosexual,4,3,4,4,4,5,3,4
12/13/2022 14:03:35,Male,Asian,Heterosexual,5,5,6,6,5,6,5,6
12/13/2022 14:04:19,Female,Hispanic,Heterosexual,3,4,6,4,2,3,1,4
12/13/2022 14:05:23,Female,White,Heterosexual,5,5,6,5,4,3,2,6
12/13/2022 14:05:51,Female,Asian,Heterosexual,5,5,6,5,4,3,4,6
12/13/2022 14:06:10,Female,"White, Hispanic",Bisexual,4,6,5,5,5,4,4,4
12/13/2022 14:06:15,Female,Asian,Heterosexual,4,4,5,4,3,4,3,6
12/13/2022 14:09:15,Female,Asian,Heterosexual,2,2,3,2,1,1,1,3
12/13/2022 14:09:21,Female,White,Heterosexual,5,4,5,4,4,4,3,6
12/13/2022 14:09:23,Female,Asian,Heterosexual,5,5,6,5,5,5,4,6
12/13/2022 14:09:24,Male,Prefer not to say,Prefer not to say,5,3,4,4,4,4,2,4
12/13/2022 14:10:21,Female,White,Heterosexual,5,4,5,3,3,3,2,6
12/13/2022 14:10:38,Female,White,Heterosexual,2,5,6,5,2,3,1,5
12/13/2022 14:11:21,Female,Asian,Heterosexual,3,4,5,4,2,1,2,6
12/13/2022 14:12:37,Female,White,Bisexual,5,5,4,4,4,4,3,5
12/13/2022 14:13:47,Female,White,Heterosexual,3,4,5,4,5,3,2,6
12/13/2022 14:14:15,Female,"White, Asian",Heterosexual,4,2,6,6,2,2,1,7
12/13/2022 14:14:27,Female,White,Heterosexual,5,4,5,3,3,4,4,6
12/13/2022 14:15:08,Female,Asian,Bisexual,2,4,4,3,4,3,1,5
12/13/2022 14:15:35,Female,Asian,Heterosexual,4,5,5,4,2,2,4,6
12/13/2022 14:17:10,Female,Asian,Heterosexual,2,5,5,4,2,2,3,6
12/13/2022 14:17:10,Male,Asian,Heterosexual,6,4,6,3,5,4,2,6
12/13/2022 14:17:17,Female,White,Heterosexual,5,5,6,5,4,3,2,5
12/13/2022 14:18:00,Female,Asian,Heterosexual,5,5,6,5,4,4,4,6
12/13/2022 14:18:54,Female,"White, Hispanic",Heterosexual,3,3,6,5,4,4,3,6
12/13/2022 14:19:13,Female,Black,Heterosexual,6,5,6,5,4,4,4,6
12/13/2022 14:19:24,Female,Black,Heterosexual,6,5,6,5,4,4,4,6
12/13/2022 14:29:15,Female,White,Heterosexual,5,6,6,6,4,5,5,6
12/13/2022 14:31:14,Male,White,Heterosexual,1,5,3,1,1,1,1,5
12/13/2022 14:32:25,Male,Asian,Heterosexual,5,3,4,3,3,3,2,5
12/13/2022 14:35:18,Male,White,Heterosexual,4,4,6,3,2,3,2,5
12/13/2022 14:41:14,Female,White,Homosexual,6,4,6,6,5,4,6,6
12/13/2022 14:49:16,Female,White,Heterosexual,3,2,2,2,2,4,3,5
12/13/2022 14:51:58,Female,White,Homosexual,6,4,4,4,4,4,3,6
12/13/2022 14:53:12,Male,White,Heterosexual,5,3,4,2,6,4,3,6
12/13/2022 14:56:00,Male,White,Heterosexual,2,5,6,4,1,1,2,6
12/13/2022 14:58:06,Female,Asian,Heterosexual,4,4,6,4,5,4,3,6
12/13/2022 14:58:46,Female,White,Heterosexual,5,5,6,5,3,4,3,6
12/13/2022 15:01:14,Female,White,Heterosexual,5,4,6,3,3,2,1,5
12/13/2022 15:01:58,Female,White,Heterosexual,2,5,5,4,3,3,2,6
12/13/2022 15:02:27,Female,"White, Hispanic",Bisexual,5,2,5,5,2,3,5,7
12/13/2022 15:14:58,Female,Asian,Heterosexual,2,3,4,4,3,3,2,6
12/13/2022 15:23:32,Female,"White, Hispanic",Heterosexual,4,4,6,3,2,4,4,7
12/13/2022 15:33:29,Male,Hispanic,Heterosexual,4,4,5,3,4,3,2,5
12/13/2022 15:37:16,Male,White,Heterosexual,5,4,5,4,4,4,3,5
12/13/2022 15:39:49,Female,Asian,Heterosexual,5,2,7,5,3,2,2,5
12/13/2022 15:40:52,Male,"Black, Middle Eastern",Heterosexual,5,5,6,4,4,5,3,5
12/13/2022 15:43:36,Female,Black,Heterosexual,4,5,5,5,3,4,5,5
12/13/2022 15:49:14,"Male, Nonbinary","Black, Hispanic","Homosexual, Aromantic",4,5,4,7,6,7,5,2
12/13/2022 15:52:38,"Female, Nonbinary",White,Bisexual,3,5,5,4,4,4,5,5
12/13/2022 15:57:08,Female,White,Heterosexual,6,5,7,5,5,4,4,6
12/13/2022 16:12:30,Female,Asian,Heterosexual,5,5,5,5,4,4,4,5
12/13/2022 16:22:22,Female,Asian,Bisexual,3,3,3,3,2,2,3,4
